transit_timestamp,station_complex,borough,fare_class_category,ridership,transfers
4/30/25 4:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,14,0
4/30/25 3:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,1,0
4/30/25 3:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,2,0
4/30/25 3:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,9,0
4/30/25 3:00,23 St-Baruch College (6),Manhattan,OMNY - Students,1,0
4/30/25 2:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,1,0
4/30/25 2:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,1,0
4/30/25 2:00,23 St-Baruch College (6),Manhattan,OMNY - Other,1,0
4/30/25 2:00,23 St-Baruch College (6),Manhattan,OMNY - Students,3,0
4/30/25 2:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,2,0
4/30/25 2:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,13,0
4/30/25 1:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,4,0
4/30/25 1:00,23 St-Baruch College (6),Manhattan,OMNY - Students,2,0
4/30/25 1:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,2,0
4/30/25 1:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,5,0
4/30/25 1:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,27,1
4/30/25 0:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,10,0
4/30/25 0:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,2,0
4/30/25 0:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,9,0
4/30/25 0:00,23 St-Baruch College (6),Manhattan,OMNY - Students,9,0
4/30/25 0:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,9,0
4/30/25 0:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,3,0
4/30/25 0:00,23 St-Baruch College (6),Manhattan,OMNY - Other,1,0
4/30/25 0:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,4,0
4/30/25 0:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,11,0
4/30/25 0:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,87,0
4/29/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,20,0
4/29/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,34,0
4/29/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,12,0
4/29/25 23:00,23 St-Baruch College (6),Manhattan,OMNY - Other,1,0
4/29/25 23:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,205,2
4/29/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,18,0
4/29/25 23:00,23 St-Baruch College (6),Manhattan,OMNY - Students,13,0
4/29/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,9,0
4/29/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,2,0
4/29/25 23:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,6,1
4/29/25 23:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,3,0
4/29/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,29,0
4/29/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,16,0
4/29/25 22:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,317,8
4/29/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,28,2
4/29/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,12,0
4/29/25 22:00,23 St-Baruch College (6),Manhattan,OMNY - Students,17,0
4/29/25 22:00,23 St-Baruch College (6),Manhattan,OMNY - Other,5,0
4/29/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,35,0
4/29/25 22:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,3,0
4/29/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,2,1
4/29/25 22:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,12,0
4/29/25 21:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,12,0
4/29/25 21:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,13,0
4/29/25 21:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,32,2
4/29/25 21:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,54,0
4/29/25 21:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,22,0
4/29/25 21:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,558,3
4/29/25 21:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,19,0
4/29/25 21:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,35,0
4/29/25 21:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,5,0
4/29/25 21:00,23 St-Baruch College (6),Manhattan,OMNY - Students,38,0
4/29/25 21:00,23 St-Baruch College (6),Manhattan,OMNY - Other,4,0
4/29/25 20:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,73,0
4/29/25 20:00,23 St-Baruch College (6),Manhattan,OMNY - Other,5,0
4/29/25 20:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,8,0
4/29/25 20:00,23 St-Baruch College (6),Manhattan,OMNY - Students,70,1
4/29/25 20:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,806,7
4/29/25 20:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,20,1
4/29/25 20:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,22,0
4/29/25 20:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,21,0
4/29/25 20:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,67,0
4/29/25 20:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,46,0
4/29/25 20:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,23,0
4/29/25 19:00,23 St-Baruch College (6),Manhattan,OMNY - Students,105,0
4/29/25 19:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,11,1
4/29/25 19:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,75,0
4/29/25 19:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,116,1
4/29/25 19:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,27,3
4/29/25 19:00,23 St-Baruch College (6),Manhattan,OMNY - Other,3,0
4/29/25 19:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,62,0
4/29/25 19:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,114,0
4/29/25 19:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,"1,017",11
4/29/25 19:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,38,0
4/29/25 19:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,25,1
4/29/25 18:00,23 St-Baruch College (6),Manhattan,OMNY - Other,3,0
4/29/25 18:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,54,0
4/29/25 18:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,11,0
4/29/25 18:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,49,0
4/29/25 18:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,36,6
4/29/25 18:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,129,2
4/29/25 18:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,133,0
4/29/25 18:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,"1,330",25
4/29/25 18:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,61,0
4/29/25 18:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,14,3
4/29/25 18:00,23 St-Baruch College (6),Manhattan,OMNY - Students,112,3
4/29/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,213,3
4/29/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,90,0
4/29/25 17:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,34,0
